sku,name,description
SKU000001,Premium Electronics Product 1,This is a high-quality premium product in the Electronics category. Perfect for all your needs. Item number 1.
SKU000002,Deluxe Clothing Product 2,This is a high-quality deluxe product in the Clothing category. Perfect for all your needs. Item number 2.
SKU000003,Standard Home & Garden Product 3,This is a high-quality standard product in the Home & Garden category. Perfect for all your needs. Item number 3.
SKU000004,Professional Sports Product 4,This is a high-quality professional product in the Sports category. Perfect for all your needs. Item number 4.
SKU000005,Basic Books Product 5,This is a high-quality basic product in the Books category. Perfect for all your needs. Item number 5.
SKU000006,Advanced Toys Product 6,This is a high-quality advanced product in the Toys category. Perfect for all your needs. Item number 6.
SKU000007,Premium Electronics Product 7,This is a high-quality premium product in the Electronics category. Perfect for all your needs. Item number 7.
SKU000008,Deluxe Clothing Product 8,This is a high-quality deluxe product in the Clothing category. Perfect for all your needs. Item number 8.
SKU000009,Standard Home & Garden Product 9,This is a high-quality standard product in the Home & Garden category. Perfect for all your needs. Item number 9.
SKU000010,Professional Sports Product 10,This is a high-quality professional product in the Sports category. Perfect for all your needs. Item number 10.

